,0
google_ads_spend_transformed,295955.3012351765
instagram_spend_transformed,276133.10193327355
ott_spend_transformed,185303.73152053286
influencer_spend_transformed,134002.79051784068
tv_spend_transformed,118772.55861733518
newspaper_spend_transformed,81092.65127066906
youtube_spend_transformed,75722.52856904446
competitor_spend,-48723.90842460638
promo_Normal,-35267.59518148151
week_sin,-24544.218133636325
promo_Flash Sale,-12014.812738727345
time_trend,-10089.454931413491
promo_Coupons,-7666.401351940342
week_cos,5554.908996694037
holiday,4483.991646293975
